1134 0 0.0 东南西西西北北北北 无将 0.0
1134 1 0.0 东南西西西北北北北 有将 0.0
111 0 0.0 南西北 无将 0.0
111 1 0.008207934336525308 南西北 有将 0.008207934336525308
112 0 0.0031796502384737677 南西北北 无将 0.0031796502384737677
112 1 0.012170385395537525 南西北北 有将 0.012170385395537525
113 0 0.005115089514066496 南西北北北 无将 0.005115089514066496
113 1 0.014705882352941176 南西北北北 有将 0.014705882352941176
114 0 0.0 南西北北北北 无将 0.0
114 1 0.0 南西北北北北 有将 0.0
4210 0 0.0 东东东东南南西 无将 0.0
4210 1 0.0 东东东东南南西 有将 0.0
4211 0 0.0 东东东东南南西北 无将 0.0
4211 1 0.0 东东东东南南西北 有将 0.0
1140 0 0.0 东南西西西西 无将 0.0
1140 1 0.0 东南西西西西 有将 0.0
4212 0 0.0 东东东东南南西北北 无将 0.0
4212 1 0.0 东东东东南南西北北 有将 0.0
1141 0 0.0 东南西西西西北 无将 0.0
1141 1 0.0 东南西西西西北 有将 0.0
4213 0 0.0 东东东东南南西北北北 无将 0.0
4213 1 0.0 东东东东南南西北北北 有将 0.0
1142 0 0.0 东南西西西西北北 无将 0.0
1142 1 0.0 东南西西西西北北 有将 0.0
4214 0 0.0 东东东东南南西北北北北 无将 0.0
4214 1 0.0 东东东东南南西北北北北 有将 0.0
1143 0 0.0 东南西西西西北北北 无将 0.0
1143 1 0.0 东南西西西西北北北 有将 0.0
120 0 0.006191950464396284 南西西 无将 0.006191950464396284
120 1 0.03529411764705882 南西西 有将 0.03529411764705882
1144 0 0.0 东南西西西西北北北北 无将 0.0
1144 1 0.0 东南西西西西北北北北 有将 0.0
121 0 0.0031796502384737677 南西西北 无将 0.0031796502384737677
121 1 0.012170385395537525 南西西北 有将 0.012170385395537525
122 0 0.004524886877828054 南西西北北 无将 0.004524886877828054
122 1 0.0196078431372549 南西西北北 有将 0.0196078431372549
123 0 0.00784313725490196 南西西北北北 无将 0.00784313725490196
123 1 0.0421865715983363 南西西北北北 有将 0.0421865715983363
124 0 0.0 南西西北北北北 无将 0.0
124 1 0.0 南西西北北北北 有将 0.0
4220 0 0.0 东东东东南南西西 无将 0.0
4220 1 0.0 东东东东南南西西 有将 0.0
4221 0 0.0 东东东东南南西西北 无将 0.0
